Product Name;Description;Material;Length/Size;Image Filename
Sia Earrings;Clean, minimal, and easy to wear with anything. They add a subtle finish without overpowering your look. The kind of pair you’ll reach for every day.;Stainless Steel;;Sia_gold_earrings.jpg
Elle Earrings;Simple, polished, and just enough. Designed for everyday wear, they bring a refined touch to any outfit. Easy to style, no matter the occasion.;Stainless Steel;;Elle_gold_earrings.jpg
Juno Earrings;A little bolder, but still effortless. They add just the right amount of edge while staying wearable. Perfect for elevating your everyday look.;Stainless Steel;;Juno_gold_earrings.jpg
Celia Necklace;Soft and subtle with an easy, everyday feel. It sits beautifully on its own or layered with other pieces. A go-to for a clean, put-together look.;Stainless Steel;20cm;Celia_gold_necklace.jpg
Lucy Necklace;An easy staple you’ll keep reaching for. Clean and simple, it works with everything in your wardrobe. Designed for effortless, everyday styling.;Stainless Steel;8cm;Lucy_gold_necklace.jpg
Raye Necklace;Slightly bolder, still minimal. It adds a touch of edge without feeling too much. Perfect for when you want something a little different.;Stainless Steel;;Raye_gold_necklace.jpg
Nova Necklace;Clean with a bit of edge. Designed to stand out in a subtle, understated way. A versatile piece you can wear daily.;Stainless Steel;20cm;Nova_gold_necklace.jpg
ICB Bracelet;Structured, simple, and easy to style. It adds a polished finish to any look without trying too hard. Perfect for everyday wear or stacking.;Stainless Steel;;ICB_gold_bracelet.jpg
Mila Bracelet;Light, minimal, and made for everyday wear. It brings a soft, effortless touch to your outfit. Easy to wear on its own or layered.;Stainless Steel;;Mila_gold_bracelet.jpg
Eden Bracelet;A slightly elevated everyday piece. It pulls your look together while still feeling simple. Perfect for both casual and dressed-up moments.;Stainless Steel;;Eden_gold_bracelet.jpg
Rue Bracelet;Clean and versatile with a modern feel. It’s easy to style and works with almost anything. Wear it solo or stack it your way.;Stainless Steel;;Rue_gold_bracelet.jpg
Terra Bracelet;A bit more statement, but still effortless. It stands out while staying easy to wear. The perfect balance between bold and minimal.;Stainless Steel;A;Terra_gold_bracelet.jpg
Coco Bracelet;Simple, chic, and goes with everything. It adds a clean finishing touch to your look. A true everyday essential.;Stainless Steel;A;Coco_gold_bracelet.jpg
Sole Ring;Minimal and effortless. Designed to be worn every day without overthinking it. A staple piece that works with everything.;Stainless Steel;A;Sole_gold_ring.jpg
Halo Ring;Clean with a subtle statement feel. It adds just enough detail to elevate your look. Easy to wear, easy to style.;Stainless Steel;A;Halo_gold_ring.jpg
Seren Ring;Simple, smooth, and easy to stack. Designed for a clean, minimal look. Perfect for everyday wear.;Stainless Steel;A;Seren_gold_ring.jpg
Lily Ring;Soft and minimal with a delicate feel. It adds a subtle, feminine touch to your style. Easy to wear on its own or stacked.;Stainless Steel;A;Lily_gold_ring.jpg
Stella Ring;A subtle statement you can wear every day. It stands out without being too much. Designed to elevate even the simplest looks.;Stainless Steel;A;Stella_gold_ring.jpg
Trove Jewellery Box;A clean, compact space for your jewellery. Keeps your pieces organised, protected, and easy to access. Perfect for home or travel.;;9x10cm;Trove_gold_jewellery.jpg
